;numer_sta;date;t
34;7630;20200101000000;281.65
94;7630;20200101030000;281.05
155;7630;20200101060000;280.35
214;7630;20200101090000;280.65
273;7630;20200101120000;283.75
332;7630;20200101150000;283.45
392;7630;20200101180000;282.05
451;7630;20200101210000;278.55
510;7630;20200102000000;276.25
570;7630;20200102030000;275.35
629;7630;20200102060000;273.95
688;7630;20200102090000;276.85
747;7630;20200102120000;284.45
807;7630;20200102150000;283.65
867;7630;20200102180000;281.75
927;7630;20200102210000;281.45
987;7630;20200103000000;281.65
1048;7630;20200103030000;278.55
1108;7630;20200103060000;276.55
1168;7630;20200103090000;278.45
1229;7630;20200103120000;281.75
1289;7630;20200103150000;282.95
1350;7630;20200103180000;282.55
1411;7630;20200103210000;282.65
1472;7630;20200104000000;282.65
1532;7630;20200104030000;282.65
1592;7630;20200104060000;282.35
1653;7630;20200104090000;282.55
1714;7630;20200104120000;284.05
1775;7630;20200104150000;283.65
1836;7630;20200104180000;282.45
1896;7630;20200104210000;281.45
1956;7630;20200105000000;279.35
2017;7630;20200105030000;277.45
2078;7630;20200105060000;275.05
2138;7630;20200105090000;275.65
2198;7630;20200105120000;276.15
2259;7630;20200105150000;276.25
2320;7630;20200105180000;275.45
2379;7630;20200105210000;274.75
2440;7630;20200106000000;274.75
2499;7630;20200106030000;274.15
2558;7630;20200106060000;272.75
2618;7630;20200106090000;274.45
2678;7630;20200106120000;284.95
2739;7630;20200106150000;285.95
2800;7630;20200106180000;280.65
2860;7630;20200106210000;280.05
2920;7630;20200107000000;280.05
2980;7630;20200107030000;279.35
3039;7630;20200107060000;279.55
3099;7630;20200107090000;280.55
3159;7630;20200107120000;282.95
3218;7630;20200107150000;283.95
3279;7630;20200107180000;281.85
3339;7630;20200107210000;278.85
3398;7630;20200108000000;277.25
3459;7630;20200108030000;276.55
3519;7630;20200108060000;277.65
3579;7630;20200108090000;279.45
3638;7630;20200108120000;284.15
3699;7630;20200108150000;286.15
3760;7630;20200108180000;284.85
3820;7630;20200108210000;281.55
3879;7630;20200109000000;281.95
3939;7630;20200109030000;282.25
4000;7630;20200109060000;282.05
4060;7630;20200109090000;283.95
4118;7630;20200109120000;286.85
4178;7630;20200109150000;286.05
4238;7630;20200109180000;284.45
4298;7630;20200109210000;283.65
4358;7630;20200110000000;282.45
4418;7630;20200110030000;281.85
4479;7630;20200110060000;281.25
4539;7630;20200110090000;281.25
4599;7630;20200110120000;282.75
4659;7630;20200110150000;283.15
4720;7630;20200110180000;280.95
4780;7630;20200110210000;278.25
4840;7630;20200111000000;277.25
4900;7630;20200111030000;276.15
4960;7630;20200111060000;276.75
5021;7630;20200111090000;278.15
5082;7630;20200111120000;282.15
5142;7630;20200111150000;283.05
5202;7630;20200111180000;279.85
5262;7630;20200111210000;276.05
5323;7630;20200112000000;273.55
5384;7630;20200112030000;271.55
5444;7630;20200112060000;271.25
5504;7630;20200112090000;273.85
5564;7630;20200112120000;281.15
5624;7630;20200112150000;282.45
5684;7630;20200112180000;279.15
5744;7630;20200112210000;276.65
5804;7630;20200113000000;274.05
5865;7630;20200113030000;272.65
5925;7630;20200113060000;271.25
5985;7630;20200113090000;273.25
6045;7630;20200113120000;277.75
6106;7630;20200113150000;283.05
6167;7630;20200113180000;280.35
6227;7630;20200113210000;279.85
6287;7630;20200114000000;278.35
6347;7630;20200114030000;279.75
6407;7630;20200114060000;280.15
6467;7630;20200114090000;280.95
6527;7630;20200114120000;285.05
6588;7630;20200114150000;285.65
6649;7630;20200114180000;283.65
6709;7630;20200114210000;283.55
6770;7630;20200115000000;283.55
6830;7630;20200115030000;283.05
6889;7630;20200115060000;281.95
6949;7630;20200115090000;282.95
7009;7630;20200115120000;286.05
7070;7630;20200115150000;286.15
7131;7630;20200115180000;284.15
7191;7630;20200115210000;283.45
7252;7630;20200116000000;281.45
7313;7630;20200116030000;280.95
7373;7630;20200116060000;280.15
7434;7630;20200116090000;283.15
7494;7630;20200116120000;285.75
7554;7630;20200116150000;286.55
7614;7630;20200116180000;283.75
7674;7630;20200116210000;283.05
7733;7630;20200117000000;284.05
7792;7630;20200117030000;284.25
7851;7630;20200117060000;282.35
7910;7630;20200117090000;281.95
7969;7630;20200117120000;280.95
8029;7630;20200117150000;282.55
8088;7630;20200117180000;280.65
8148;7630;20200117210000;279.65
8208;7630;20200118000000;277.65
8268;7630;20200118030000;275.65
8327;7630;20200118060000;275.55
8386;7630;20200118090000;276.55
8445;7630;20200118120000;282.05
8505;7630;20200118150000;282.85
8564;7630;20200118180000;281.25
8623;7630;20200118210000;280.85
8682;7630;20200119000000;279.45
8741;7630;20200119030000;279.45
8801;7630;20200119060000;277.25
8860;7630;20200119090000;278.15
8920;7630;20200119120000;281.35
8979;7630;20200119150000;282.15
9038;7630;20200119180000;279.15
9097;7630;20200119210000;275.55
9155;7630;20200120000000;274.95
9214;7630;20200120030000;272.45
9271;7630;20200120060000;270.85
9331;7630;20200120090000;273.65
9390;7630;20200120120000;277.05
9449;7630;20200120150000;278.95
9508;7630;20200120180000;277.65
9567;7630;20200120210000;277.05
9627;7630;20200121000000;276.05
9686;7630;20200121030000;276.25
9745;7630;20200121060000;276.85
9804;7630;20200121090000;277.85
