;ID;Nom;Latitude;Longitude;Altitude;numer_sta;date;t
0;7005;ABBEVILLE;50.136;1.834;69;7005;20200101030000;273.05
1;7015;LILLE-LESQUIN;50.57;3.0975;47;7015;20200101030000;274.65
2;7020;PTE DE LA HAGUE;49.725167;-1.939833;6;7020;20200101030000;280.05
3;7027;CAEN-CARPIQUET;49.18;-0.456167;67;7027;20200101030000;275.65
4;7037;ROUEN-BOOS;49.383;1.181667;151;7037;20200101030000;271.95
5;7072;REIMS-PRUNAY;49.209667;4.155333;95;7072;20200101030000;271.35
6;7110;BREST-GUIPAVAS;48.444167;-4.412;94;7110;20200101030000;282.65
7;7117;PLOUMANAC'H;48.825833;-3.473167;55;7117;20200101030000;281.45
8;7130;RENNES-ST JACQUES;48.068833;-1.734;36;7130;20200101030000;278.95
9;7139;ALENCON;48.4455;0.110167;143;7139;20200101030000;274.85
10;7149;ORLY;48.716833;2.384333;89;7149;20200101030000;272.45
11;7168;TROYES-BARBEREY;48.324667;4.02;112;7168;20200101030000;271.25
12;7181;NANCY-OCHEY;48.581;5.959833;336;7181;20200101030000;271.15
13;7190;STRASBOURG-ENTZHEIM;48.5495;7.640333;150;7190;20200101030000;269.75
14;7207;BELLE ILE-LE TALUT;47.294333;-3.218333;34;7207;20200101030000;283.95
15;7222;NANTES-BOUGUENAIS;47.15;-1.608833;26;7222;20200101030000;281.85
16;7240;TOURS;47.4445;0.727333;108;7240;20200101030000;277.65
17;7255;BOURGES;47.059167;2.359833;161;7255;20200101030000;273.75
18;7280;DIJON-LONGVIC;47.267833;5.088333;219;7280;20200101030000;271.85
19;7299;BALE-MULHOUSE;47.614333;7.51;263;7299;20200101030000;270.05
20;7314;PTE DE CHASSIRON;46.046833;-1.4115;11;7314;20200101030000;284.85
21;7335;POITIERS-BIARD;46.593833;0.314333;123;7335;20200101030000;279.45
22;7434;LIMOGES-BELLEGARDE;45.861167;1.175;402;7434;20200101030000;276.95
23;7460;CLERMONT-FD;45.786833;3.149333;331;7460;20200101030000;271.55
24;7471;LE PUY-LOUDES;45.0745;3.764;833;7471;20200101030000;269.25
25;7481;LYON-ST EXUPERY;45.7265;5.077833;235;7481;20200101030000;272.25
26;7510;BORDEAUX-MERIGNAC;44.830667;-0.691333;47;7510;20200101030000;282.55
27;7535;GOURDON;44.745;1.396667;260;7535;20200101030000;278.85
28;7558;MILLAU;44.1185;3.0195;712;7558;20200101030000;274.55
29;7577;MONTELIMAR;44.581167;4.733;73;7577;20200101030000;274.05
30;7591;EMBRUN;44.565667;6.502333;871;7591;20200101030000;275.05
31;7607;MONT-DE-MARSAN;43.909833;-0.500167;59;7607;20200101030000;282.05
32;7621;TARBES-OSSUN;43.188;0.0;360;7621;20200101030000;279.65
33;7627;ST GIRONS;43.005333;1.106833;414;7627;20200101030000;277.75
34;7630;TOULOUSE-BLAGNAC;43.621;1.378833;151;7630;20200101030000;281.05
35;7643;MONTPELLIER;43.577;3.963167;2;7643;20200101030000;274.55
36;7650;MARIGNANE;43.437667;5.216;9;7650;20200101030000;274.65
37;7661;CAP CEPET;43.079333;5.940833;115;7661;20200101030000;281.65
38;7690;NICE;43.648833;7.209;2;7690;20200101030000;279.75
39;7747;PERPIGNAN;42.737167;2.872833;42;7747;20200101030000;276.65
